ADM1_EN,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021
Amnat Charoen,46.44942562,80.27771699,68.97160932,20.63179266,10.35828831,8.014839712,13.50606968,15.81721629,22.62631513,22.88212415,28.28531157,41.7520065,48.64241003,69.49881062,73.92290634,19.35770682,11.66637936,9.128363703,14.01062546,19.00880957,21.140459,24.17179916,26.59458237,46.75123623,46.29069541,81.0177101,65.46219801,20.70191427,12.08129358,8.231928373,14.27685529,15.29636747,18.41921618,25.35049769,25.88828277,41.90034967,42.26734493,86.86457784,75.7164103,19.37826041,11.04740422,9.08425771,15.04419407,14.28607506,20.55693996,24.95147521,26.75412785
Ang Thong,48.98838949,90.11178048,66.73093247,20.17330651,10.68467049,7.032887761,15.66664826,15.68272355,21.40190728,22.99182882,29.751311,48.15260118,45.97276138,61.01882821,57.26061458,22.3358044,11.009163,9.027607114,14.84854012,19.72708052,20.9120016,24.88877976,29.17385077,50.22950868,48.86243144,69.3190638,61.44774804,21.5657872,12.34846133,8.560813685,14.95631997,14.49933906,17.38941622,24.42107667,26.82173381,48.99910035,43.73573445,72.18713551,76.48777051,19.05440976,11.37264426,9.099717826,14.6425803,14.49749179,18.90426364,23.52888849,27.29033431
Bangkok,47.05701174,95.34563526,47.52740927,18.80973254,10.85463842,7.124052658,14.86232609,16.46441962,21.2135742,25.31065104,34.55690437,50.56149432,41.03435154,58.09750628,43.45223683,20.36588232,11.87058884,9.428873092,14.75330017,19.8181474,20.60622083,26.61900465,32.94120746,47.22130493,44.13349662,44.42868957,39.98673433,19.97172556,12.3040831,9.007705248,15.28931558,15.3455982,18.02954725,25.60227333,33.88463261,48.23201205,42.46343892,68.37179219,61.50826588,18.38557003,11.97551618,9.00833369,15.04800466,15.39925487,18.80168992,25.61881786,31.79029517
Bueng Kan,53.5453863,101.2274807,68.8325359,21.31604293,11.29593967,7.860658346,11.91430082,15.82088583,21.85218109,23.52585346,30.82182092,46.87402911,51.41688751,97.52146039,79.9151574,20.78791929,12.15674427,7.959579176,12.90104367,18.71141425,20.54938964,24.1915105,31.69200446,55.18146125,53.02954342,100.478045,74.71783523,22.25107844,12.11081552,7.766108846,13.29566919,14.13149675,18.44126201,24.20606658,29.580979,54.69364991,49.63773474,94.59166886,84.490184,20.45230625,11.06588742,7.811927631,14.78259556,13.46827523,17.89004076,23.46758341,29.75827282
Buri Ram,50.30678217,94.11622647,67.23480013,20.23626868,10.64758093,8.151929223,15.24465772,16.37131161,22.17593108,25.10404389,31.60974356,46.5389787,47.94525672,80.0793635,69.30474424,19.6896455,11.30885224,10.44082076,15.8753606,19.00975463,20.2714441,25.57987915,29.88297714,48.06316021,48.3318638,86.83927886,61.16894323,20.2485239,12.22630284,8.997856445,14.36552506,15.74519255,16.99831058,26.32222467,28.11451382,47.97119598,45.14720034,88.70702325,68.57991574,19.5229032,11.72612236,10.56889509,14.81936996,14.74933525,18.64215758,25.48501737,28.31646269
Chachoengsao,46.36003573,95.87672949,61.58121974,18.86814539,10.55528348,7.735282774,15.46833393,16.59107546,21.27687448,23.29447793,29.55624268,45.15883175,46.34950731,66.1268043,58.49723725,19.28018045,11.37584818,10.36156357,14.92070675,19.72636047,20.21194916,25.8924549,28.24938307,46.36311303,44.46426124,74.54575037,49.31209607,19.07001334,12.1044909,9.166963807,15.47691467,16.36334527,17.16756055,25.36865084,27.60550833,46.25983861,44.71499433,91.06115988,60.8357328,18.63382734,11.67041028,10.99787133,15.06457824,15.02671521,18.76046295,24.09696239,27.16064542
Chai Nat,49.02284853,69.7743439,61.30430678,20.57776949,11.04361057,7.110919881,15.22884578,15.54656115,21.30740684,25.24111789,32.24248922,47.98748233,47.72279272,64.65518438,54.62020397,25.54098058,11.06214438,9.2986831,14.47839993,19.83588084,20.4352877,25.36960043,32.13661049,50.43038744,47.92267593,75.4420513,64.79186461,21.92453963,12.72592191,9.281929287,14.95445807,14.45568648,17.1291361,23.95406598,29.92905268,48.67715147,42.45456531,69.42156058,74.07047302,19.70488645,11.37438388,9.286573831,15.19479622,14.26195209,18.60220824,24.78343877,29.35555039
Chaiyaphum,51.48123762,71.00296514,61.28949318,18.49450184,10.45827565,9.659886375,14.83645897,16.9804859,22.65835164,24.72652585,30.20870768,45.50229081,48.7824981,65.39426755,59.38252142,18.73968732,11.26180046,11.71685553,15.92373404,20.31047045,21.49516322,25.48905333,31.02849924,49.61446863,46.75339475,69.33055343,56.14860904,18.48312069,12.09467899,10.35479577,14.90136391,16.21419052,17.47796895,25.57507809,29.59966002,50.60634731,46.08905911,79.40105834,62.55413532,17.84923843,11.51340379,11.53743565,14.84817342,15.20939728,18.86652793,24.57735278,29.97083168
Chanthaburi,51.24196507,88.59239493,55.44623883,16.87201757,10.31309731,11.73619492,15.74437892,16.77641737,21.06301356,24.2347845,31.201219,49.51131329,47.14932594,56.94551098,45.36079817,16.21340513,11.18914774,11.88968706,14.85336527,19.46084034,19.62389844,26.59809252,29.35456264,49.64700766,45.69298625,58.6258764,56.20458991,16.5549482,11.91328466,10.92828169,15.28434861,17.08253233,17.75093202,26.77012109,29.57421395,48.46680896,45.40607206,75.14296123,60.52649152,16.5748105,11.36917472,13.60485692,15.09252743,15.32132174,18.70938465,24.82324402,28.11057018
Chiang Mai,57.76079514,84.58995854,63.66643169,16.018314,11.66928836,10.40983655,14.16510459,17.6495669,17.52914257,25.39267545,36.36464901,52.2924093,51.93915137,72.75484428,59.87725831,19.33822688,12.04774988,11.75630611,14.05384652,20.28237029,18.06448283,26.38012302,36.4706115,57.51563083,56.70623555,69.62685013,56.21239534,16.75653191,12.37450501,11.18242482,14.46612094,16.57436159,17.1193977,24.91505159,36.19102442,74.50276252,54.54668381,81.46966924,65.67731606,16.69026397,12.06253126,11.34236644,14.78137715,16.69931287,16.07800925,26.37810615,36.56362515
