stationID,Date_Time,Date,time,PM25,PM10,O3,CO,NO2,SO2,AQI-Level,AQI-Score
02t,15/4/2023 15:00,15/4/2023,15:00,58,83,-1,-1,1,-1,4,119
03t,15/4/2023 15:00,15/4/2023,15:00,61,-1,-1,-1,-1,-1,4,126
05t,15/4/2023 15:00,15/4/2023,15:00,54,-1,-1,-1,-1,-1,4,109
10t,15/4/2023 15:00,15/4/2023,15:00,47,-1,-1,-1,-1,-1,3,88
11t,15/4/2023 15:00,15/4/2023,15:00,55,-1,-1,-1,-1,-1,4,111
12t,15/4/2023 15:00,15/4/2023,15:00,54,-1,-1,-1,-1,-1,4,109
50t,15/4/2023 15:00,15/4/2023,15:00,54,-1,-1,-1,-1,-1,4,109
52t,15/4/2023 15:00,15/4/2023,15:00,55,67,-1,-1,-1,-1,4,111
53t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
54t,15/4/2023 15:00,15/4/2023,15:00,66,97,-1,0.84,13,-1,4,139
59t,15/4/2023 15:00,15/4/2023,15:00,45,68,51,-1,-1,-1,3,80
61t,15/4/2023 15:00,15/4/2023,15:00,46,-1,-1,-1,-1,-1,3,84
bkp100t,15/4/2023 15:00,15/4/2023,15:00,67,-1,-1,-1,-1,-1,4,142
bkp101t,15/4/2023 15:00,15/4/2023,15:00,55,-1,-1,-1,-1,-1,4,111
bkp102t,15/4/2023 15:00,15/4/2023,15:00,53,-1,-1,-1,-1,-1,4,106
bkp103t,15/4/2023 15:00,15/4/2023,15:00,60,-1,-1,-1,-1,-1,4,124
bkp104t,15/4/2023 15:00,15/4/2023,15:00,48,-1,-1,-1,-1,-1,3,92
bkp105t,15/4/2023 15:00,15/4/2023,15:00,55,-1,-1,-1,-1,-1,4,111
bkp112t,15/4/2023 15:00,15/4/2023,15:00,52,-1,-1,-1,-1,-1,4,104
bkp114t,15/4/2023 15:00,15/4/2023,15:00,44,-1,-1,-1,-1,-1,3,76
bkp115t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp116t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp117t,15/4/2023 15:00,15/4/2023,15:00,46,-1,-1,-1,-1,-1,3,84
bkp118t,15/4/2023 15:00,15/4/2023,15:00,52,-1,-1,-1,-1,-1,4,104
bkp119t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp120t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp121t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp122t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp124t,15/4/2023 15:00,15/4/2023,15:00,45,-1,-1,-1,-1,-1,3,80
bkp125t,15/4/2023 15:00,15/4/2023,15:00,52,-1,-1,-1,-1,-1,4,104
bkp126t,15/4/2023 15:00,15/4/2023,15:00,47,-1,-1,-1,-1,-1,3,88
bkp127t,15/4/2023 15:00,15/4/2023,15:00,57,-1,-1,-1,-1,-1,4,116
bkp128t,15/4/2023 15:00,15/4/2023,15:00,47,-1,-1,-1,-1,-1,3,88
bkp129t,15/4/2023 15:00,15/4/2023,15:00,52,-1,-1,-1,-1,-1,4,104
bkp130t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp131t,15/4/2023 15:00,15/4/2023,15:00,44,-1,-1,-1,-1,-1,3,76
bkp56t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp57t,15/4/2023 15:00,15/4/2023,15:00,43,-1,-1,-1,-1,-1,3,71
bkp58t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp59t,15/4/2023 15:00,15/4/2023,15:00,48,-1,-1,-1,-1,-1,3,92
bkp60t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp61t,15/4/2023 15:00,15/4/2023,15:00,48,-1,-1,-1,-1,-1,3,92
bkp62t,15/4/2023 15:00,15/4/2023,15:00,54,-1,-1,-1,-1,-1,4,109
bkp63t,15/4/2023 15:00,15/4/2023,15:00,51,-1,-1,-1,-1,-1,4,101
bkp64t,15/4/2023 15:00,15/4/2023,15:00,57,-1,-1,-1,-1,-1,4,116
bkp65t,15/4/2023 15:00,15/4/2023,15:00,64,-1,-1,-1,-1,-1,4,134
bkp66t,15/4/2023 15:00,15/4/2023,15:00,55,-1,-1,-1,-1,-1,4,111
bkp67t,15/4/2023 15:00,15/4/2023,15:00,78,-1,-1,-1,-1,-1,4,170
bkp69t,15/4/2023 15:00,15/4/2023,15:00,56,-1,-1,-1,-1,-1,4,114
bkp70t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp71t,15/4/2023 15:00,15/4/2023,15:00,48,-1,-1,-1,-1,-1,3,92
bkp72t,15/4/2023 15:00,15/4/2023,15:00,57,-1,-1,-1,-1,-1,4,116
bkp73t,15/4/2023 15:00,15/4/2023,15:00,59,-1,-1,-1,-1,-1,4,121
bkp74t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp75t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp76t,15/4/2023 14:00,15/4/2023,14:00,45,-1,-1,-1,-1,-1,3,80
bkp77t,15/4/2023 15:00,15/4/2023,15:00,52,-1,-1,-1,-1,-1,4,104
bkp78t,15/4/2023 15:00,15/4/2023,15:00,53,-1,-1,-1,-1,-1,4,106
bkp79t,15/4/2023 15:00,15/4/2023,15:00,53,-1,-1,-1,-1,-1,4,106
bkp80t,15/4/2023 15:00,15/4/2023,15:00,50,-1,-1,-1,-1,-1,3,100
bkp81t,15/4/2023 15:00,15/4/2023,15:00,57,-1,-1,-1,-1,-1,4,116
bkp82t,15/4/2023 15:00,15/4/2023,15:00,51,-1,-1,-1,-1,-1,4,101
bkp83t,15/4/2023 15:00,15/4/2023,15:00,62,-1,-1,-1,-1,-1,4,129
bkp84t,15/4/2023 15:00,15/4/2023,15:00,58,-1,-1,-1,-1,-1,4,119
bkp85t,15/4/2023 15:00,15/4/2023,15:00,69,-1,-1,-1,-1,-1,4,147
bkp86t,15/4/2023 15:00,15/4/2023,15:00,57,-1,-1,-1,-1,-1,4,116
bkp87t,15/4/2023 15:00,15/4/2023,15:00,58,-1,-1,-1,-1,-1,4,119
bkp88t,15/4/2023 15:00,15/4/2023,15:00,55,-1,-1,-1,-1,-1,4,111
bkp89t,15/4/2023 15:00,15/4/2023,15:00,56,-1,-1,-1,-1,-1,4,114
bkp90t,15/4/2023 15:00,15/4/2023,15:00,53,-1,-1,-1,-1,-1,4,106
bkp91t,15/4/2023 15:00,15/4/2023,15:00,51,-1,-1,-1,-1,-1,4,101
bkp92t,15/4/2023 15:00,15/4/2023,15:00,64,-1,-1,-1,-1,-1,4,134
bkp93t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
bkp94t,15/4/2023 15:00,15/4/2023,15:00,64,-1,-1,-1,-1,-1,4,134
bkp95t,15/4/2023 15:00,15/4/2023,15:00,58,-1,-1,-1,-1,-1,4,119
bkp96t,15/4/2023 15:00,15/4/2023,15:00,48,-1,-1,-1,-1,-1,3,92
bkp97t,15/4/2023 15:00,15/4/2023,15:00,58,-1,-1,-1,-1,-1,4,119
bkp98t,15/4/2023 15:00,15/4/2023,15:00,53,-1,-1,-1,-1,-1,4,106
bkp99t,15/4/2023 15:00,15/4/2023,15:00,46,-1,-1,-1,-1,-1,3,84
79t,15/4/2023 15:00,15/4/2023,15:00,49,-1,-1,-1,-1,-1,3,96
o26,15/4/2023 15:00,15/4/2023,15:00,59,-1,-1,-1,-1,-1,4,121
94t,15/4/2023 15:00,15/4/2023,15:00,80,117,48,0.74,14,2,4,175
46t,15/4/2023 15:00,15/4/2023,15:00,60,-1,-1,-1,-1,-1,4,124
100t,15/4/2023 15:00,15/4/2023,15:00,43,62,24,0.44,7,1,3,71
60t,15/4/2023 15:00,15/4/2023,15:00,48,96,27,-1,-1,-1,3,92
32t,15/4/2023 15:00,15/4/2023,15:00,51,-1,-1,-1,-1,-1,4,101
33t,15/4/2023 15:00,15/4/2023,15:00,45,-1,-1,-1,-1,-1,3,80
34t,15/4/2023 15:00,15/4/2023,15:00,46,-1,55,-1,-1,-1,3,84
o23,15/4/2023 15:00,15/4/2023,15:00,78,-1,-1,-1,-1,-1,4,170
o28,15/4/2023 15:00,15/4/2023,15:00,65,-1,-1,-1,-1,-1,4,137
