ADM1_EN,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021
Amnat Charoen,46.44942562,80.27771699,68.97160932,20.63179266,10.35828831,8.014839712,13.50606968,15.81721629,22.62631513,22.88212415,28.28531157,41.7520065,48.64241003,69.49881062,73.92290634,19.35770682,11.66637936,9.128363703,14.01062546,19.00880957,21.140459,24.17179916,26.59458237,46.75123623,46.29069541,81.0177101,65.46219801,20.70191427,12.08129358,8.231928373,14.27685529,15.29636747,18.41921618,25.35049769,25.88828277,41.90034967,42.26734493,86.86457784,75.7164103,19.37826041,11.04740422,9.08425771,15.04419407,14.28607506,20.55693996,24.95147521,26.75412785
Ang Thong,48.98838949,90.11178048,66.73093247,20.17330651,10.68467049,7.032887761,15.66664826,15.68272355,21.40190728,22.99182882,29.751311,48.15260118,45.97276138,61.01882821,57.26061458,22.3358044,11.009163,9.027607114,14.84854012,19.72708052,20.9120016,24.88877976,29.17385077,50.22950868,48.86243144,69.3190638,61.44774804,21.5657872,12.34846133,8.560813685,14.95631997,14.49933906,17.38941622,24.42107667,26.82173381,48.99910035,43.73573445,72.18713551,76.48777051,19.05440976,11.37264426,9.099717826,14.6425803,14.49749179,18.90426364,23.52888849,27.29033431
Bangkok,47.05701174,95.34563526,47.52740927,18.80973254,10.85463842,7.124052658,14.86232609,16.46441962,21.2135742,25.31065104,34.55690437,50.56149432,41.03435154,58.09750628,43.45223683,20.36588232,11.87058884,9.428873092,14.75330017,19.8181474,20.60622083,26.61900465,32.94120746,47.22130493,44.13349662,44.42868957,39.98673433,19.97172556,12.3040831,9.007705248,15.28931558,15.3455982,18.02954725,25.60227333,33.88463261,48.23201205,42.46343892,68.37179219,61.50826588,18.38557003,11.97551618,9.00833369,15.04800466,15.39925487,18.80168992,25.61881786,31.79029517
Bueng Kan,53.54551812,101.2227238,68.82990553,21.31618047,11.29600342,7.86068183,11.91424761,15.82081058,21.85259151,23.52534477,30.82094632,46.87629685,51.41854021,97.53201743,79.92098123,20.78817936,12.15674345,7.959712688,12.90149728,18.71103712,20.54981421,24.19051709,31.69109759,55.18289966,53.02952918,100.480766,74.71639366,22.25179795,12.11087429,7.766306211,13.2957345,14.1312911,18.44142247,24.2060431,29.57941086,54.69629687,49.63822358,94.59353863,84.49160649,20.4524205,11.06602177,7.81206452,14.78249323,13.46804436,17.89042859,23.46767634,29.75664621
Buri Ram,50.3073658,94.1089279,67.2328891,20.23686249,10.64755798,8.151339129,15.24492455,16.37096144,22.17596523,25.10360719,31.60949288,46.53761894,47.94594474,80.07525524,69.30754537,19.69068044,11.30907656,10.44008581,15.87615429,19.00966709,20.27139372,25.5785816,29.88091166,48.06239166,48.33038871,86.82511597,61.16452239,20.24926362,12.22630623,8.997286126,14.36547906,15.74487413,16.99832694,26.32155491,28.1134094,47.97077373,45.14636272,88.69383027,68.57597707,19.52315169,11.72648283,10.56830712,14.81926604,14.74936726,18.64236944,25.48492948,28.31544015
Chachoengsao,46.36084138,95.88252186,61.58374788,18.86864085,10.55556368,7.734990042,15.46744507,16.59113807,21.27703059,23.29438444,29.55635123,45.15809408,46.35009836,66.12963748,58.49614883,19.28076851,11.37620444,10.36113919,14.92039216,19.72616144,20.21186274,25.89252367,28.24898221,46.36379162,44.46450249,74.54965699,49.31149725,19.070616,12.10476697,9.166585662,15.47655517,16.36327874,17.16726597,25.36896692,27.60462544,46.26085341,44.71540853,91.06456138,60.83601873,18.63416321,11.67070392,10.99753256,15.06426759,15.02681454,18.76027143,24.09725394,27.16064457
Chai Nat,49.02284853,69.7743439,61.30430678,20.57776949,11.04361057,7.110919881,15.22884578,15.54656115,21.30740684,25.24111789,32.24248922,47.98748233,47.72279272,64.65518438,54.62020397,25.54098058,11.06214438,9.2986831,14.47839993,19.83588084,20.4352877,25.36960043,32.13661049,50.43038744,47.92267593,75.4420513,64.79186461,21.92453963,12.72592191,9.281929287,14.95445807,14.45568648,17.1291361,23.95406598,29.92905268,48.67715147,42.45456531,69.42156058,74.07047302,19.70488645,11.37438388,9.286573831,15.19479622,14.26195209,18.60220824,24.78343877,29.35555039
Chaiyaphum,51.4809999,71.00175202,61.28861792,18.49428142,10.45828356,9.65999293,14.8365404,16.98054089,22.65842818,24.72650735,30.20872257,45.5022267,48.78240375,65.39366219,59.38210414,18.73955999,11.26178513,11.71705284,15.92384658,20.31052978,21.49524944,25.48904762,31.02841484,49.61442206,46.75327255,69.33034008,56.14808247,18.4829512,12.09467463,10.35494265,14.90137669,16.21425505,17.477975,25.5751791,29.5996621,50.6063653,46.08904867,79.39997304,62.55373587,17.84905845,11.51343551,11.53758127,14.84818314,15.20949271,18.86660458,24.57740105,29.97082028
Chanthaburi,51.25692311,88.70237074,55.46472869,16.87649176,10.31545886,11.73125682,15.72496651,16.78088768,21.06418804,24.23645036,31.20258062,49.50462274,47.17591973,57.01775422,45.39021376,16.21924349,11.19107993,11.88585919,14.84355586,19.46201499,19.62556894,26.60327914,29.36005292,49.65228902,45.6993552,58.69664527,56.22360762,16.55724517,11.91336585,10.92698842,15.27950756,17.08245502,17.75007875,26.77843145,29.57461341,48.49597883,45.40734973,75.2390156,60.55159503,16.57719304,11.37210717,13.60018157,15.09066633,15.32214249,18.70702904,24.83135213,28.11764951
Chiang Mai,57.76046994,84.57639689,63.66611637,16.01732041,11.66969963,10.41088507,14.16420631,17.65012667,17.52782053,25.3922338,36.36434349,52.29194994,51.93760403,72.75201413,59.87776581,19.33707053,12.04781608,11.75746883,14.05352177,20.28259632,18.06402638,26.37920186,36.47025885,57.51481891,56.70843267,69.62559489,56.20906361,16.75547826,12.37464689,11.1829996,14.46607282,16.57549672,17.11887775,24.91450493,36.19002583,74.50744671,54.54810695,81.46937975,65.67890548,16.68938129,12.06285215,11.34324606,14.78129396,16.70040621,16.07739401,26.37744392,36.56318381
